date,label
2025-09-01,INSET day
2025-10-22,INSET day
2025-10-23,Disaggregated Day
2025-10-24,Disaggregated Day
2026-07-20,Disaggregated Day
2026-09-01,INSET day
2026-09-02,INSET day
2026-10-21,INSET day
2026-10-22,Disaggregated Day
2026-10-23,Disaggregated Day
